1,Acaraú Mirim,31.92,52
2,Banabuiú,501.1,1601
3,Caxitoré,0,202
4,Cedro,8.74,125694
5,Edson Queiroz,106.58,254
6,Favelas,4.67,30.1
7,General Sampaio,0,322.2
8,Manoel Balbino,6.51,37.18
9,Orós,1080.47,1940
10,Patu,31.16,71829
11,Pedras Brancas,127.51,434.0515
12,Pentecoste,0,395638
13,Pompeu Sobrinho,18.89,143
14,Prazeres,13.32,32.5
15,Quixabinha,3.46,31.78
16,Quixeramobim,39.22,54
17,Riacho do Sangue,16.58,61424
18,Salão,0.14,6.0492
19,Santo Antônio de Russas,3.06,24
20,São Mateus,0.61,10.34
21,São Pedro Timbaúba,0,19259
22,Sobral,2,4675
23,Thomás Osterne,0,28.78
24,Trici,0,16.5
25,Várzea do Boi,0.78,51.91
26,Nova Floresta,1.56,7.61
27,Poço da Pedra,5.05,52
28,Joaquim Távora,17.9,26.7728
30,Ema,2.06,10.39
31,Araras,244.04,891
32,Adauto Bezerra,0.62,5.25
33,Capitão Mor,2.79,6
34,Cupim,0,4.55
36,Gomes,1.14,2394
39,São José I,1.59,7.67
40,Trapiá I,0,2.01
43,Caracas,0,9.63
45,Amanary,0,11.01
47,Atalho,0,108.25
49,Ayres de Souza,60.72,97
50,Santo Antônio de Aracatiaçu,0,24.34
51,Forquilha,8.81,50132
52,Jaburu II,1.36,116
53,Carnaubal,2.08,87.69
54,Realejo,1.9,31.55112
55,Santa Maria de Aracatiaçu,0,8.2
56,Patos,0.44,7.55
58,Tucunduba,18.71,41.43
59,Farias de Sousa,0.64,12.23
60,Diamante,4.87,13.2
61,Mundaú,7.06,21.3
62,Premuoca,1.06,5.202625
63,Lima Campos,37.77,66382
64,Bonito,0.51,6
65,Carão,3.47,26.23
66,Sucesso,0,10
67,Poço do Barro,5.13,54.7035
68,Quincoé,0,0
69,Jaburu I,68.24,138.127743
70,Várzea da Volta,0.72,12.5
72,Forquilha II,0,3.4
74,Canafístula,3.11,13.11
75,Tatajuba,1.05,2.72
77,Frios,4.58,33.02
78,Acarape do Meio,8.04,31.5
79,Quandú,1.51,4
80,Pacajus,63.64,240
81,São Vicente,2.86,9.8452
82,Potiretama,0.29,6.33
83,Arrebita,0,19.6
84,Cipoada,4.53,86.09
85,São José II,0.76,29.14
88,Pacoti,128.71,380
89,Parambu,0.2,8.53
90,Poço Verde,1.56,13.65
92,Tejuçuoca,0,28.11
95,Gavião,30.87,32.9
96,Trapiá II,4.67,18.19
97,Castro,12.33,63.9
99,Serafim Dias,9.17,43
110,Valério,1.02,2.02
111,Tigre,0.85,3.51
112,Angicos,10.5,56.05
117,Riachão,17.72,46.95
118,Estrema,0,2.9
119,Fogareiro,24.09,119
121,Jerimum,0.5,20.5
122,Trussu,192.54,301
126,Martinópole,2.32,23.2
127,Canoas,24.81,69.25
129,Trapiá III,1.58,5.51
130,Vieirão,4.37,20.96
133,Colina,0,3.25
134,Do Coronel,0,1.77
135,Jatobá,0.14,6
141,São Domingos,0,3035
148,Pau Preto,0.21,1.808767
155,Olho d'Água,9.51,21
158,Cauhipe,2.51,12
159,Sitios Novos,0,126
160,Souza,0.03,30.84
161,Mons. Tabosa,3.04,12.1
162,Ubaldinho,14.42,31.8
163,Barra Velha,11.75,99.5
164,Madeiro,0.06,2.81
166,Santa Maria,0.17,5.8668
167,Pirabibu,2.31,74
168,Muquém,23.96,47.643406
169,Gangorra,26.31,62.5
170,Cachoeira,11.5,34.33
171,Jenipapeiro,4.46,43.4
172,Flor do Campo,5.85,111.3
174,Rivaldo de Carvalho,3.32,19.52
177,Benguê,4.9,19.56
178,Desterro,0,5.01
179,Penedo,0,2414
180,Itaúna,28.26,77.5
181,Rosário,11.89,47.2
194,Castanhão,2972.89,6700
223,Catucinzenta,6.67,27.13
233,Santo Antônio,0.19,832
234,Aracoiaba,58.14,170.7
235,Malcozinhado,15.97,37.84
236,Carmina,0.71,13628
239,Faé,1.14,24.408688
240,Arneiroz II,49.64,197.06
244,Itapebussu,1.18,8.8
1000,Macacos,4.14,10.320337
1003,Curral Velho,9.57,12.165745
1020,Pesqueiro,1.63,8.2
